Year,District,Period,Fishery,Stock,Contribution
2007,4,B,US_Subsistence,Border,0.11
2007,4,B,US_Subsistence,Pelly,0.316
2007,4,B,US_Subsistence,Carmacks,0.232
2007,4,B,US_Subsistence,Takhini,0
2007,5,B-1,US_Comm,Border,0.304
2007,5,B-1,US_Comm,Pelly,0.36
2007,5,B-1,US_Comm,Carmacks,0.084
2007,5,B-1,US_Comm,Takhini,0.008
2007,5,B-2,US_Comm,Border,0.032
2007,5,B-2,US_Comm,Pelly,0.226
2007,5,B-2,US_Comm,Carmacks,0.374
2007,5,B-2,US_Comm,Takhini,0.009
2007,5,C-1,US_Comm,Border,0.029
2007,5,C-1,US_Comm,Pelly,0.257
2007,5,C-1,US_Comm,Carmacks,0.271
2007,5,C-1,US_Comm,Takhini,0.091
2007,5,C-2,US_Comm,Border,0.267
2007,5,C-2,US_Comm,Pelly,0.307
2007,5,C-2,US_Comm,Carmacks,0.235
2007,5,C-2,US_Comm,Takhini,0
2008,1,2,US_Comm,Border,0.001
2008,1,2,US_Comm,Pelly,0.007
2008,1,2,US_Comm,Carmacks,0.122
2008,1,2,US_Comm,Takhini,0.005
2008,1,,US_Subsistence,Border,0.162
2008,1,,US_Subsistence,Pelly,0.254
2008,1,,US_Subsistence,Carmacks,0.109
2008,1,,US_Subsistence,Takhini,0.01
2008,4,A,US_Subsistence,Border,0.03
2008,4,A,US_Subsistence,Pelly,0.227
2008,4,A,US_Subsistence,Carmacks,0.175
2008,4,A,US_Subsistence,Takhini,0.031
2008,4,B,US_Subsistence,Border,0.095
2008,4,B,US_Subsistence,Pelly,0.102
2008,4,B,US_Subsistence,Carmacks,0.254
2008,4,B,US_Subsistence,Takhini,0.004
2008,5,A,US_Subsistence,Border,0.243
2008,5,A,US_Subsistence,Pelly,0.49
2008,5,A,US_Subsistence,Carmacks,0.042
2008,5,A,US_Subsistence,Takhini,0.003
2008,5,B,US_Subsistence,Border,0.048
2008,5,B,US_Subsistence,Pelly,0.163
2008,5,B,US_Subsistence,Carmacks,0.464
2008,5,B,US_Subsistence,Takhini,0.006
2009,1,,US_Subsistence,Border,0.07
2009,1,,US_Subsistence,Pelly,0.226
2009,1,,US_Subsistence,Carmacks,0.064
2009,1,,US_Subsistence,Takhini,0.003
2009,3,,US_Subsistence,Border,0.008
2009,3,,US_Subsistence,Pelly,0.032
2009,3,,US_Subsistence,Carmacks,0.217
2009,3,,US_Subsistence,Takhini,0.001
2009,4,A,US_Subsistence,Border,0.002
2009,4,A,US_Subsistence,Pelly,0.19
2009,4,A,US_Subsistence,Carmacks,0.379
2009,4,A,US_Subsistence,Takhini,0.01
2009,4,B,US_Subsistence,Border,0.043
2009,4,B,US_Subsistence,Pelly,0.135
2009,4,B,US_Subsistence,Carmacks,0.184
2009,4,B,US_Subsistence,Takhini,0.001
2009,5,A,US_Subsistence,Border,0.467
2009,5,A,US_Subsistence,Pelly,0.431
2009,5,A,US_Subsistence,Carmacks,0.055
2009,5,A,US_Subsistence,Takhini,0
2009,5,B,US_Subsistence,Border,0.127
2009,5,B,US_Subsistence,Pelly,0.358
2009,5,B,US_Subsistence,Carmacks,0.385
2009,5,B,US_Subsistence,Takhini,0.079
2010,1,1,US_Comm,Border,0.002786
2010,1,1,US_Comm,Pelly,0.060125
2010,1,1,US_Comm,Carmacks,0.181631
2010,1,1,US_Comm,Takhini,0.001128
2010,1,2,US_Comm,Border,0.001368
2010,1,2,US_Comm,Pelly,0.059178
2010,1,2,US_Comm,Carmacks,0.210407
2010,1,2,US_Comm,Takhini,0.07039
2010,1,3,US_Comm,Border,0.002903
2010,1,3,US_Comm,Pelly,0.005849
2010,1,3,US_Comm,Carmacks,0.201281
2010,1,3,US_Comm,Takhini,0.002831
2010,1,4,US_Comm,Border,0.000544
2010,1,4,US_Comm,Pelly,0.007335
2010,1,4,US_Comm,Carmacks,0.071329
2010,1,4,US_Comm,Takhini,0.001898
2010,2,1,US_Comm,Border,0.002786
2010,2,1,US_Comm,Pelly,0.060125
2010,2,1,US_Comm,Carmacks,0.181631
2010,2,1,US_Comm,Takhini,0.001128
2010,2,2,US_Comm,Border,0.001368
2010,2,2,US_Comm,Pelly,0.059178
2010,2,2,US_Comm,Carmacks,0.210407
2010,2,2,US_Comm,Takhini,0.07039
2010,2,3,US_Comm,Border,0.002903
2010,2,3,US_Comm,Pelly,0.005849
2010,2,3,US_Comm,Carmacks,0.201281
2010,2,3,US_Comm,Takhini,0.002831
2010,2,4,US_Comm,Border,0.000544
2010,2,4,US_Comm,Pelly,0.007335
2010,2,4,US_Comm,Carmacks,0.071329
2010,2,4,US_Comm,Takhini,0.001898
2010,3,,US_Subsistence,Border,0.049
2010,3,,US_Subsistence,Pelly,0.113
2010,3,,US_Subsistence,Carmacks,0.303
2010,3,,US_Subsistence,Takhini,0.01
2010,4,A,US_Subsistence,Border,0.077
2010,4,A,US_Subsistence,Pelly,0.071
2010,4,A,US_Subsistence,Carmacks,0.36
2010,4,A,US_Subsistence,Takhini,0.003
2010,4,B,US_Subsistence,Border,0.101
2010,4,B,US_Subsistence,Pelly,0.161
2010,4,B,US_Subsistence,Carmacks,0.233
2010,4,B,US_Subsistence,Takhini,0.008
2010,4,C,US_Subsistence,Border,0.051
2010,4,C,US_Subsistence,Pelly,0.102
2010,4,C,US_Subsistence,Carmacks,0.142
2010,4,C,US_Subsistence,Takhini,0.007
2010,4,D,US_Subsistence,Border,0.005
2010,4,D,US_Subsistence,Pelly,0.094
2010,4,D,US_Subsistence,Carmacks,0.072
2010,4,D,US_Subsistence,Takhini,0.028
2010,5,B,US_Subsistence,Border,0.104
2010,5,B,US_Subsistence,Pelly,0.193
2010,5,B,US_Subsistence,Carmacks,0.47
2010,5,B,US_Subsistence,Takhini,0.005
2010,5,C,US_Subsistence,Border,0.172
2010,5,C,US_Subsistence,Pelly,0.284
2010,5,C,US_Subsistence,Carmacks,0.365
2010,5,C,US_Subsistence,Takhini,0.083
2005,1,1,US_Comm,Border,0.016
2005,1,1,US_Comm,Pelly,0.214
2005,1,1,US_Comm,Carmacks,0.23
2005,1,1,US_Comm,Takhini,0.085
2005,1,2,US_Comm,Border,0.015
2005,1,2,US_Comm,Pelly,0.177
2005,1,2,US_Comm,Carmacks,0.23
2005,1,2,US_Comm,Takhini,0.058
2005,1,3,US_Comm,Border,0.009
2005,1,3,US_Comm,Pelly,0.109
2005,1,3,US_Comm,Carmacks,0.253
2005,1,3,US_Comm,Takhini,0.054
2005,1,4,US_Comm,Border,0.006
2005,1,4,US_Comm,Pelly,0.071
2005,1,4,US_Comm,Carmacks,0.372
2005,1,4,US_Comm,Takhini,0.089
2005,2,1,US_Comm,Border,0.021
2005,2,1,US_Comm,Pelly,0.112
2005,2,1,US_Comm,Carmacks,0.121
2005,2,1,US_Comm,Takhini,0.022
2005,2,2,US_Comm,Border,0.01
2005,2,2,US_Comm,Pelly,0.18
2005,2,2,US_Comm,Carmacks,0.245
2005,2,2,US_Comm,Takhini,0.029
2005,2,3,US_Comm,Border,0.015
2005,2,3,US_Comm,Pelly,0.164
2005,2,3,US_Comm,Carmacks,0.136
2005,2,3,US_Comm,Takhini,0.069
2005,1,,US_Subsistence,Border,0.072
2005,1,,US_Subsistence,Pelly,0.363
2005,1,,US_Subsistence,Carmacks,0.194
2005,1,,US_Subsistence,Takhini,0.009
2005,5,,US_Subsistence,Border,0.073
2005,5,,US_Subsistence,Pelly,0.404
2005,5,,US_Subsistence,Carmacks,0.259
2005,5,,US_Subsistence,Takhini,0.033
