PROGRAM_CODE,PROJ_NAME,SPECIES_NAME,RUN_NAME,BROOD_YEAR,STOCK_NAME,STOCK_PROD_AREA_CODE,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_NAME,RELEASE_SITE_NAME,REL_CU_INDEX,REL_CU_NAME,RELEASE_STAGE_NAME,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_WEIGHT,PURPOSE_CODE,TRANSFER,RELEASE_COMMENT,RowNum,TaggedClip,TaggedNum,ShedTagNum,NoTagClip,NoTagNum,NoTagPartMarkNum,UnmarkedNum,TotalRelease,Status,Joe's Comment
PIP,Klondike R N,Chinook,Spring,1991,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,023356,1992,19920831,19920831,2.47,B,N,FED FRY RELEASE- ALSO SEE 180644 AND 180645,1,AD,6453,0,,0,0,852,7305,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1991,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,180644,1992,19920831,19920831,2.47,B,N,FED FRY RELEASE- ALSO SEE 180645 AND 023356,1,AD,11585,0,,0,0,320,11905,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1991,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,180645,1992,19920831,19920831,2.47,B,N,FED FRY RELEASE- ALSO SEE 180644 AND 023356,1,AD,11734,0,,0,0,817,12551,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1991,Yukon R,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,W,H,"Klondike River, North H",Pothole Lk,,See Joe's Comment,Fed Fry,NOCN9148,1992,199206,199206,0,B,U,,1,,0,0,,0,0,1500,1500,Exclude,"Stock CU needs to be changed to CK-69 UPPER YUKON RIVER but I didn't change becasue I think this record should be excluded. The only Gazetted Pothole Lake in Yukon is part of the Mackenzie River watershed. So if the release location is in fact this Pothole Lake, it is not part of the Yukon watershed. However, many lakes in the Yukon are generically called 'pothole lakes' given they are not connected by water to the Yukon R. Another reason to exclude. "
PIP,Klondike R N,Chinook,Spring,1993,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010503,1994,19940630,19940630,0.88,B,N,,1,AD,6174,10,,0,0,54,6238,All Good - No Change,
PIP,Klondike R N,Chinook,Spring,1993,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010407,1994,19940630,19940630,0.99,B,N,SEE ALSO 0201010505.,1,AD,12077,246,,0,0,71,12394,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1993,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010505,1994,19940630,19940630,0.99,B,N,SEE ALSO 0201010407.,1,AD,9982,0,,0,0,61,10043,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1994,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010602,1995,19950704,19950704,0.75,B,N,FED FRY RELEASE; REARED AT MCINTYRE CREEK; ALSO SEE 0201010603,1,AD,1809,16,,0,0,56,1881,All Good - No Change,
PIP,Klondike R N,Chinook,Spring,1994,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010603,1995,19950704,19950704,0.75,B,N,FED FRY RELEASE; REARED AT MCINTYRE CREEK; ALSO SEE 0201010602,1,AD,2159,11,,0,0,190,2360,All Good - No Change,
PIP,Klondike R N,Chinook,Spring,1994,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010511,1995,19950704,19950704,0.81,B,N,REARED AT MCINTYRE CR; ALSO 0201010513 & 15 & 0201010601,1,AD,12431,100,,0,0,686,13217,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1994,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010513,1995,19950704,19950704,0.81,B,N,REARED AT MCINTYRE CR; ALSO 0201010511 & 15 & 0201010601,1,AD,11649,238,,0,0,413,12300,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1994,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010515,1995,19950704,19950704,0.81,B,N,REARED AT MCINTYRE CR; ALSO 0201010511 & 13 & 0201010601,1,AD,2490,33,,0,0,177,2700,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1994,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010601,1995,19950704,19950704,0.81,B,N,"REARED AT MCINTYRE CR; ALSO 0201010511, 13 & 15",1,AD,1476,19,,0,0,155,1650,All Good - No Change,It appears Tatchun River Stock was reared at a facility on the Klondike River; the Klondike River is a site in a different CU. But the juveniles were released back into the Tatchun River so all good.
PIP,Klondike R N,Chinook,Spring,1995,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,"Klondike River, North H",Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010408,1996,19960622,19960622,0.76,B,N,YUKON CHINOOK PRODUCTION TAGGING,1,AD,11423,1707,,0,0,,13130,All Good - No Change,
PIP,Mayo R,Chinook,Summer,1991,Mayo R,YUKN,CK-74,STEWART,W,H,Mayo River H,Mayo R,CK-74,STEWART,Smolt 0+,NOCN9147,1992,199206,199206,0,P,N,,1,,0,0,,0,0,13000,13000,All Good - No Change,
PIP,Mayo R,Chinook,Summer,1992,Mayo R,YUKN,CK-74,STEWART,W,H,Mayo River H,Mayo R,CK-74,STEWART,Fed Fry,NOCN9292,1993,199307,199307,0,B,N,,1,,0,0,,0,0,500,500,All Good - No Change,
PIP,McIntyre Cr,Chinook,Spring,1990,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Takhini R,CK-69,UPPER YUKON RIVER,Fed Fall,023354,1991,19910913,19910913,3.2,B,N,TRANS-BOUNDARY; ALSO SEE 02-33-55,1,AD,10789,109,,0,0,101,10999,All Good - No Change,
PIP,McIntyre Cr,Chinook,Spring,1990,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Takhini R,CK-69,UPPER YUKON RIVER,Fed Fall,023355,1991,19910913,19910913,3.2,B,N,TRANS-BOUNDARY; ALSO SEE 02-33-54,1,AD,7967,80,,0,0,39,8086,All Good - No Change,
PIP,McIntyre Cr,Chinook,Spring,1991,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,0201010308,1992,19920704,19920704,0.98,B,U,TRANS-BOUNDARY; ALSO SEE 0201010309-10; UNMARKED FISH TOO SMALL TO TAG,1,AD,12141,143,,0,0,3425,15709,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1991,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,0201010309,1992,19920704,19920704,0.98,B,U,TRANS-BOUNDARY; ALSO SEE 0201010308 & 10; UNMARKED FISH TOO SMALL TO TAG,1,AD,13102,466,,0,0,1398,14966,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1991,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,0201010310,1992,19920704,19920704,0.98,B,U,TRANS-BOUNDARY; ALSO SEE 0201010308-09; UNMARKED FISH TOO SMALL TO TAG,1,AD,4955,261,,0,0,601,5817,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,McIntyre Creek H,Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010404,1993,19930701,19930701,1.14,B,N,TRANS BOUNDARY; ALSO SEE 0201010405,1,AD,12832,240,,0,0,144,13216,All Good - No Change,It appears Klondike River Stock was reared at the former facility on McIntyre Creek; McIntyre Creek is a site in a different CU. But the juveniles were released back into the Klondike River. So all good.
PIP,McIntyre Cr,Chinook,Spring,1992,Klondike R N,YUKN,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,M,H,McIntyre Creek H,Klondike R N,CK-76,NORTHERN YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010405,1993,19930701,19930701,1.14,B,N,TRANS BOUNDARY; ALSO SEE 0201010404,1,AD,7546,256,,0,0,167,7969,All Good - No Change,It appears Klondike River Stock was reared at the former facility on McIntyre Creek; McIntyre Creek is a site in a different CU. But the juveniles were released back into the Klondike River. So all good.
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,020217,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-22 TO 24, 18-14-53 & 54",1,AD,2291,114,,0,0,37,2442,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,023422,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-23 & 24, 02-02-17, & 18-14-53 & 54",1,AD,10355,314,,0,0,40,10709,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,023423,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-22 & 24, 02-02-17, & 18-43-53 & 54",1,AD,9822,850,,0,0,218,10890,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,023424,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-22 & 23, 02-02-17, & 18-14-53 & 54",1,AD,9532,823,,0,0,95,10450,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181453,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-22 & 23, 02-02-17, & 18-14-54",1,AD,10658,865,,0,0,226,11749,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181454,1993,19930817,19930817,2.71,B,U,"TRANS-BOUNDARY; ALSO SEE 02-34-22 TO 24, 02-02-17 & 18-14-53",1,AD,10925,567,,0,0,227,11719,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1992,Tatchun R,YUKN,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,M,H,McIntyre Creek H,Tatchun R,CK-73,MIDDLE YUKON RIVER AND TRIBUTARIES,Fed Fry,0201010402,1993,19930617,19930617,0.76,B,N,TRANS BOUNDARY; FED FRY RELEASE,1,AD,4654,633,,0,0,335,5622,All Good - No Change,It appears Tatchun River Stock was reared at the former facility on the McIntyre Creek; McIntyre Creek is a site in a different CU. But the juveniles were released back into the Tatchun River. So all good. Tatchun River is ~200kms away from the former McIntyre Creek Hatchery site so plausible (effort for release numbers).
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181748,1994,19940826,19940831,2.6,B,U,TRANSBOUNDARY; ALSO SEE 181749 TO 181752,1,AD,11375,0,,0,0,104,11479,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181749,1994,19940826,19940831,2.6,B,U,TRANSBOUNDARY; ALSO SEE 181748 AND 181750 TO 181752,1,AD,11071,159,,0,0,142,11372,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181750,1994,19940826,19940831,2.6,B,U,"TRANSBOUNDARY; ALSO SEE 181748, 181749, 181751 & 181752",1,AD,11227,40,,0,0,87,11354,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181751,1994,19940826,19940831,2.6,B,U,TRANSBOUNDARY; ALSO SEE 181748 TO 181750 & 181752,1,AD,7410,46,,0,0,222,7678,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,181752,1994,19940826,19940831,2.6,B,U,TRANSBOUNDARY; ALSO SEE 181748 TO 181751,1,AD,10668,21,,0,0,198,10887,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Takhini R,CK-69,UPPER YUKON RIVER,Fed Fry,020163,1994,19940830,19940830,2.8,B,N,TRANSBOUNDARY; ALSO SEE 020216,1,AD,10899,222,,0,0,62,11183,All Good - No Change,
PIP,McIntyre Cr,Chinook,Spring,1993,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,W,H,McIntyre Creek H,Takhini R,CK-69,UPPER YUKON RIVER,Fed Fry,020216,1994,19940830,19940830,2.8,B,N,TRANSBOUNDARY; ALSO SEE 020163,1,AD,9343,271,,0,0,36,9650,All Good - No Change,
PIP,McIntyre Cr,Chinook,Spring,1994,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,0201010412,1995,19950814,19950814,2.2,B,U,TRANS-BOUNDARY; ALSO SEE 0201010414,1,AD,14193,59,,0,0,281,14533,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
PIP,McIntyre Cr,Chinook,Spring,1994,Takhini R,YUKN,CK-69,UPPER YUKON RIVER,M,H,McIntyre Creek H,Flat Cr/YUKN,CK-69,UPPER YUKON RIVER,Fed Fry,0201010414,1995,19950814,19950814,2.2,B,U,TRANS-BOUNDARY; ALSO SEE 0201010412,1,AD,13586,130,,0,0,295,14011,All Good - Filled Blanks,"There are 5 Flat Creeks in the Gazetteer of Yukon. One is a tributary to Takhini River. Given the former McIntyre Creek Hatchery was ~30kms away from this Flat Creek, I presume the Flat Creek referred to in the  RELEASE_SITE_NAME is this Flat Creek. The Takhini River is a site in CU CK-69 UPPER YUKON RIVER. So I added CK-69 as the REL_CU_INDEX and UPPER YUKON RIVER as the REL_CU_NAME."
