CU,bench.par,mean,50%,10%,90%,n_eff,Rhat
MiddleYukonR.andtribs.,Umsy,0.51052,0.53012,0.29117,0.68816,NA,NA
UpperYukonR.,Umsy,0.52018,0.53917,0.24616,0.75343,NA,NA
Nordenskiold,Umsy,0.56818,0.57908,0.44021,0.6864,NA,NA
YukonR.Teslinheadwaters,Umsy,0.59306,0.60982,0.43385,0.72981,NA,NA
NorthernYukonR.andtribs.,alpha,2.32058,2.14905,1.25145,4.3913,9247,0.9998
Pelly,alpha,2.63748,2.38551,1.30163,5.51186,6118,1
Big.Salmon,alpha,2.87165,2.70309,1.43892,5.55496,6440,1.0002
Stewart,alpha,3.33562,3.28931,1.83492,5.81984,10644,1.0001
MiddleYukonR.andtribs.,alpha,3.62671,3.61616,1.8876,6.38166,9085,0.9999
Whiteandtribs.,alpha,3.67594,3.39694,1.61736,8.5145,6426,1.0001
UpperYukonR.,alpha,3.89932,3.72066,1.6968,8.6154,7123,1.0005
Nordenskiold,alpha,4.22782,4.23933,2.7743,6.33476,8368,1.0005
YukonR.Teslinheadwaters,alpha,4.6919,4.71595,2.72575,7.67871,6853,1.0002
NorthernYukonR.andtribs.,beta,7e-05,7e-05,3e-05,0.00011,11454,1.0002
MiddleYukonR.andtribs.,beta,7e-05,7e-05,5e-05,9e-05,13376,1.0001
Pelly,beta,8e-05,8e-05,6e-05,1e-04,13311,0.9999
Big.Salmon,beta,0.00012,0.00012,8e-05,0.00016,10186,1.0002
UpperYukonR.,beta,0.00016,0.00016,0.00011,2e-04,13112,1.0001
YukonR.Teslinheadwaters,beta,0.00018,0.00018,0.00014,0.00022,15283,1.0002
Whiteandtribs.,beta,2e-04,2e-04,0.00014,0.00027,8885,1
Stewart,beta,0.00023,0.00023,0.00015,0.00031,12481,1.0001
Nordenskiold,beta,0.00036,0.00036,0.00028,0.00045,16532,1.0001
Nordenskiold,phi,0.53769,0.54675,0.27524,0.79187,6138,1.0007
YukonR.Teslinheadwaters,phi,0.64651,0.65822,0.41773,0.87244,7184,1.0006
Stewart,phi,0.69233,0.70396,0.48525,0.8891,9640,0.9999
MiddleYukonR.andtribs.,phi,0.72343,0.74121,0.50929,0.92068,7999,1.0004
NorthernYukonR.andtribs.,phi,0.79737,0.80337,0.66218,0.92944,11178,1.0002
UpperYukonR.,phi,0.81127,0.82588,0.6579,0.95091,10579,1.0004
Big.Salmon,phi,0.8188,0.83527,0.66262,0.95727,9479,1.0002
Pelly,phi,0.85186,0.86548,0.72062,0.96777,10575,1.0001
Whiteandtribs.,phi,0.85194,0.87016,0.70909,0.9719,8485,1.0001
Big.Salmon,sigma,0.9583,0.9543,0.85845,1.06259,12161,1.0001
Pelly,sigma,0.96189,0.95829,0.86984,1.05867,12418,1
Whiteandtribs.,sigma,0.96802,0.96382,0.86191,1.07786,8322,1.0005
NorthernYukonR.andtribs.,sigma,1.02431,1.01982,0.91838,1.13644,11764,1
MiddleYukonR.andtribs.,sigma,1.02443,1.02007,0.92795,1.12661,14257,0.9998
YukonR.Teslinheadwaters,sigma,1.07253,1.0672,0.9753,1.17513,16699,1
Nordenskiold,sigma,1.10509,1.10015,1.00234,1.21533,11394,1.0004
Stewart,sigma,1.11243,1.10762,1.01103,1.21912,18227,0.9998
UpperYukonR.,sigma,1.11752,1.11202,1.01411,1.22729,12935,1
